Business,Contact,Page/Topic,Tier,Price Quoted,Location,Start Date,End Date,Status,Corridor-Board Geography,First-Option Contacted,First-Option Date
Rusty's Towing Service,dispatch@rustystowingservice.com,Ohio cameras,Single page,$49/mo,Ohio,,,Not yet sent,Ohio,No,
Atlanta Diesel Works,dblackwell@atlantadieselworks.com,Atlanta cameras,Single page,$49/mo,Atlanta GA,,,Not yet sent,Atlanta GA,No,
Hillside Tire & Service,hillsidetire@gmail.com,Little Cottonwood Canyon pass,Single page,$49/mo,Sandy UT,,,Not yet sent,Sandy UT / Little Cottonwood Canyon,No,
ATX Towing,atxtowing.recovery@gmail.com,I-35 corridor,Single page,$49/mo,Austin TX,,,Not yet sent,Austin TX,No,
Superior Towing Inc.,"phone (541) 523-4070; email masked online as su****g@gmail.com - check superiortowingbaker.co directly to confirm",Anthony Lakes pass,Single page,$49/mo,Baker City OR,,,Needs email before sending,Baker City OR,No,
Cade Towing,phone only - no email found,I-65 corridor,Single page,$49/mo,Birmingham AL,,,Needs email before sending,Birmingham AL,No,
A Tow Atlanta,info@atowinc.com,I-20 corridor,Single page,$49/mo,Atlanta GA,,,Not yet sent,Atlanta GA,No,
Knoxville Towing and Recovery,knoxvilletowingrecovery@gmail.com,I-40 corridor,Single page,$49/mo,Knoxville TN,,,Not yet sent,Knoxville TN,No,
Blue Ridge Wrecker Service LLC,BlueRidgeWreckerServiceLLC@gmail.com,I-81 corridor,Single page,$49/mo,Troutville VA (Roanoke area),,,Not yet sent,Roanoke VA area,No,
Englewood Truck Towing & Recovery,phone only - 888-513-1000 (site contact form),I-75 corridor,Single page,$49/mo,Dayton/Cincinnati OH,,,Batch 1 - needs email,Dayton/Cincinnati OH,No,
I-40 Truck Repair,phone only - 615-828-1522 (site contact form),I-40 corridor,Single page,$49/mo,TN (multiple communities on I-40),,,Batch 1 - needs email - 2nd I-40 option after Knoxville Towing,TN I-40 corridor,No,
Arrow Wrecker Service,phone only - 405-943-1800 (site contact page),I-35 corridor,Single page,$49/mo,Oklahoma City OK,,,Batch 1 - needs email - 2nd I-35 option after ATX Towing,Oklahoma City OK,No,
Speed's Towing,phone only - 503-234-5555 (contact form; city filing names Devin Edwards),Portland cameras,Single page,$49/mo,Portland OR,,,Batch 1 - needs email - new topic (Portland cameras),Portland OR,No,
Gerlock Towing & Heavy Haul,donny@gerlocktowing.com (from city filing - unconfirmed but real),Portland cameras,Single page,$49/mo,Portland OR / Cascade Locks,,,Batch 1 - verify email before sending,Portland OR,No,
Portland Heavy Towing,phone only - 971-666-2497 (site email form),Portland cameras,Single page,$49/mo,Portland OR,,,Batch 1 - needs email,Portland OR,No,
Capital Towing & Recovery,phone only - 614-272-1800 (booking/contact),Ohio cameras,Single page,$49/mo,Columbus OH,,,Batch 1 - needs email - 2nd Ohio option after Rusty's,Columbus OH,No,
Mobile Truck and Trailer Repair,phone only - 470-443-5014,Atlanta cameras,Single page,$49/mo,South of Atlanta GA,,,Batch 1 - no public email found,South Atlanta GA,No,
Weil Wrecker Service,phone only - 205-251-4060 (inquiry form),I-20 corridor,Single page,$49/mo,Birmingham AL,,,Batch 1 - needs email - 2nd I-20 option after A Tow Atlanta,Birmingham AL,No,
Hurst Towing & Recovery,phone only - 205-631-8697,I-65 corridor,Single page,$49/mo,Birmingham AL,,,Batch 1 - no public email found - 2nd I-65 option after Cade,Birmingham AL,No,
Columbus Truck & Trailer Repair LLC,phone only - 614-817-5025,Ohio cameras,Single page,$49/mo,Columbus OH,,,Batch 2 - needs email,Columbus OH,No,
Cal's Towing,phone only - 614-861-4265 (office hours),Ohio cameras,Single page,$49/mo,Columbus OH,,,Batch 2 - needs email - lower priority (light-duty),Columbus OH,No,
Northwestern Towing & Recovery,info@northwesterntowing.com,Portland cameras,Single page,$49/mo,Portland OR,,,Batch 2 - verified email,Portland OR,No,
Alpha Fleet Services,phone only - 405-213-1863,I-35 corridor,Single page,$49/mo,Oklahoma City OK,,,Batch 2 - needs email,Oklahoma City OK,No,
Barnes Wrecker Service Inc.,phone only - 405-737-7625,I-35 corridor,Single page,$49/mo,Oklahoma City OK,,,Batch 2 - needs email - lower priority,Oklahoma City OK,No,
Fleet Pros Truck And Trailer Repair,phone only - 205-781-5770,I-20 or I-65 corridor,Single page,$49/mo,Birmingham AL,,,Batch 2 - needs email - could pitch either corridor,Birmingham AL,No,
Masters Towing LLC,phone only - 817-559-1378,I-20 corridor,Single page,$49/mo,Fort Worth TX,,,Batch 2 - needs email - lower priority (light-duty),Fort Worth TX,No,
Simmons Towing and Associates LLC,phone only - 770-881-3327,Atlanta cameras,Single page,$49/mo,Atlanta GA,,,Reserve - needs email,Atlanta GA,No,
ART Texas Towing LLC,phone only - 682-252-6963,I-35 corridor (TX portion),Single page,$49/mo,Texas,,,Reserve - needs email - lowest priority (light-duty new business),Texas,No,
